p_PharmacyId,p_PharmacyQualifier,p_FillDateFrom,p_FillDateThru
1457394280,01,20170403,20170407
1831523430,01,20161224,20170120
1891899712,01,20160828,20180404
1881954089,01,20161120,20170811
1992746895,01,20161120,20171201
1760409890,01,20170614,20180101
1083965073,01,20170731,20171018
1164437091,01,20170103,20170810
1588679674,01,20180219,20180514
1376626747,01,20170124,20180930
1235202763,01,20161231,20170908
1629090246,01,20170809,20171028
1376646018,01,20170102,20180324
1619908035,01,20170130,20171022
1073941738,01,20170828,20170901
1801980206,01,20170704,20170708
1225050909,01,20170109,20181001
1275572240,01,20160815,20180120
1871696583,01,20160919,20171202
1629083845,01,20170120,20170904
1124183355,01,20161219,20171005
1407955743,01,20170808,20180427
1588724397,01,20170523,20170527
1710334800,01,20170115,20170722
1295769099,01,20161230,20171102
1184078024,01,20170506,20180927
1073602728,01,20160910,20170906
1124137559,01,20160817,20171006
1336436559,01,20170112,20170922
1033218367,01,20160705,20171017
1699879403,01,20160911,20180930
1255466116,01,20170819,20170823
1700985975,01,20170104,20171020
1396148193,01,20160814,20170609
1578580619,01,20160703,20170719
1275637191,01,20160904,20171206
1548512122,01,20170829,20180803
1336217132,01,20160716,20160817
1578636882,01,20180916,20180920
1790147833,01,20170121,20171025
1730214164,01,20170607,20170611
1912109695,01,20160926,20170904
1255659322,01,20161231,20170816
1396179230,01,20170708,20180408
1699884015,01,20170827,20170831
1992710883,01,20160718,20180413
1902905235,01,20170807,20180427
1083824122,01,20170109,20170113
1528003910,01,20160629,20170329
1346469400,01,20170101,20170920
1932178647,01,20170801,20180427
1396780912,01,20170103,20171020
1407965759,01,20170108,20170921
1235467739,01,20170112,20180401
1790707354,01,20161231,20180720
1144235060,01,20170122,20170904
1184667917,01,20170104,20170527
1952641672,01,20170124,20170510
1295742179,01,20160907,20180131
1790851459,01,20170102,20170119
1679672844,01,20170427,20170501
1558880443,01,20180310,20180314
1023045275,01,20170115,20170918
1477652824,01,20160720,20171215
1336156348,01,20160904,20171101
1447696513,01,20170115,20170923
1023108040,01,20160913,20180102
1659728624,01,20180313,20180414
1891083069,01,20170125,20180101
1861433740,01,20170807,20171008
1932338779,01,20170107,20170924
1649297839,01,20170102,20170929
1003924465,01,20170409,20170623
1639287022,01,20161111,20171118
1851839658,01,20170930,20171008
1740387232,01,20160629,20180924
1962505636,01,20170729,20180306
1124045406,01,20170121,20170125
1932127628,01,20170105,20170813
1306945522,01,20160709,20170831
1841207826,01,20161231,20170801
1053326124,01,20170311,20170521
1083631253,01,20170218,20170824
1609893833,01,20170809,20180427
1457381097,01,20161022,20180328
1477744233,01,20170802,20171010
1750396057,01,20160715,20171222
1982641346,01,20170201,20170601
1760797534,01,20171022,20171026
1740205616,01,20170722,20170726
1457489718,01,20160930,20170910
1962709287,01,20160704,20170903
1447316682,01,20170118,20170910
1346518933,01,20170308,20171220
1184656035,01,20161228,20171127
1639175110,01,20170531,20171122
1821471053,01,20171216,20180804
1184148884,01,20180209,20180331
1275682684,01,20161231,20170512
1396062824,01,20160725,20180414
1154348456,01,20161226,20171001
1518140086,01,20170514,20180804
1831479401,01,20170118,20180929
1962428086,01,20161231,20180613
1922029982,01,20170222,20171223
1184736431,01,20170929,20171220
1326208737,01,20170102,20170106
1548684293,01,20170120,20170124
1437176781,01,20170719,20170723
1164616249,01,20171021,20171025
1205852415,01,20160808,20171223
1326394362,01,20180117,20180606
1861875403,01,20161231,20170828
1184641599,01,20170424,20180401
1770594319,01,20170327,20170402
1346280294,01,20170102,20170819
1245333764,01,20160730,20171223
1356373203,01,20161221,20171223
1578570552,01,20160709,20180103
1033522644,01,20170913,20171027
1114443538,01,20180104,20180401
1184646192,01,20170125,20170817
1447265491,01,20170815,20171006
1407873623,01,20170120,20170917
1811902885,01,20161231,20170901
1881793123,01,20160803,20171003
1316278690,01,20170815,20180419
1164449229,01,20161231,20171102
1588681738,01,20160910,20170210
1609203058,01,20170219,20171222
1730360074,01,20170807,20180426
1104926567,01,20170827,20180330
1578829123,01,20161018,20170407
1225132046,01,20160704,20170403
1710992607,01,20160705,20171223
1396881942,01,20171230,20180103
1013252626,01,20160726,20160730
1609204767,01,20170429,20170503
1447436803,01,20170104,20181001
1699291823,01,20171230,20180402
1871673079,01,20170115,20181004
1457376139,01,20170206,20180702
1184932386,01,20161127,20170902
1215049218,01,20180922,20180927
1922309681,01,20170206,20170210
1679726236,01,20170101,20171008
1437572427,01,20160712,20180929
1821014952,01,20170118,20171127
1396260691,01,20180223,20180422
1467782417,01,20161231,20171220
1306164413,01,20170528,20171206
1750581740,01,20170906,20170910
1386688117,01,20160728,20171012
1992744932,01,20170329,20180701
1679717383,01,20170101,20171025
1215954615,01,20170116,20170308
1598935876,01,20170419,20170423
1134146483,01,20180311,20180315
1710079298,01,20160701,20171211
1053414532,01,20161224,20171211
1649474453,01,20160830,20171213
1225444631,01,20170517,20181003
1851424485,01,20170101,20171201
1205034204,01,20170425,20180721
1417379595,01,20180319,20180323
1881619351,01,20170107,20171101
1033214721,01,20161221,20171223
1851318968,01,20161013,20180927
1407241029,01,20170125,20180112
1760585442,01,20171119,20171123
1306940127,01,20160803,20180927
1528050572,01,20170103,20180103
1659598555,01,20170121,20170924
1265734883,01,20161013,20170730
1326053380,01,20170422,20171230
1124033485,01,20161002,20171001
1013296060,01,20170125,20171229
1407953334,01,20161229,20171207
1427076116,01,20160815,20170722
1114443389,01,20180126,20180331
1891202354,01,20180306,20181003
1861596538,01,20160706,20171116
1871739219,01,20170107,20180204
1144339110,01,20160807,20171210
1538591375,01,20170104,20170108
1528055472,01,20170517,20170618
1912421520,01,20180309,20180328
1235249830,01,20170123,20170520
1841207859,01,20170101,20180322
1326075011,01,20170408,20171019
1124378468,01,20170104,20170904
1700823135,01,20170509,20180103
1275522732,01,20170520,20181003
1730298100,01,20161009,20171230
1750793170,01,20170109,20170417
1538315213,01,20180707,20180907
1669713939,01,20170723,20171202
1851327639,01,20170305,20170503
1588865034,01,20170104,20180703
1427351311,01,20160725,20170827
1881928000,01,20161118,20171109
1700985900,01,20180202,20180206
1508883737,01,20180302,20180306
1346349602,01,20170719,20170806
1144337932,01,20170116,20170617
1558884312,01,20180204,20180316
1760525240,01,20161101,20170805
1790952588,01,20161016,20171216
1588187595,01,20180103,20180330
1992961296,01,20160703,20180930
1285073346,01,20160629,20170802
1437253267,01,20170430,20180322
1326042870,01,20170212,20170216
1225215213,01,20161007,20170924
1356445191,01,20161008,20170913
1023053543,01,20170730,20171020
1770725764,01,20161024,20171223
1700954799,01,20170118,20181103
1821062365,01,20170121,20171218
1003353426,01,20171029,20171213
1477694750,01,20161227,20170930
1487671764,01,20170101,20180102
1053415943,01,20171215,20180802
1144237173,01,20170102,20170726
1790034528,01,20170704,20170708
1386753804,01,20171002,20171008
1073697124,01,20160730,20170512
1023059516,01,20170101,20170801
1417056789,01,20170123,20170517
1881616548,01,20170117,20170318
1992710008,01,20160730,20160803
1912420514,01,20180322,20180402
1346344132,01,20160902,20171224
1215959986,01,20160629,20180726
1477570364,01,20170716,20170830
1629095997,01,20161105,20171228
1962686410,01,20180916,20180920
1609976034,01,20170114,20170822
1992182166,01,20160814,20181003
1801818547,01,20170107,20180329
1558464313,01,20161220,20180317
1437181310,01,20161231,20171110
1386839678,01,20160730,20171010
1801319140,01,20180208,20180402
1184639130,01,20160902,20170302
1689032757,01,20160703,20171005
1184789844,01,20170124,20171008
1346366879,01,20161221,20170222
1891941944,01,20160809,20170929
1144262338,01,20161118,20180915
1447323910,01,20160716,20160814
1073538757,01,20160709,20180504
1144304270,01,20160803,20171018
1790200830,01,20180208,20180331
1710314687,01,20170108,20171228
1093807711,01,20160629,20171222
1528073525,01,20160921,20170605
1942217930,01,20170311,20180325
1083629299,01,20170102,20171121
1114941663,01,20160918,20170625
1619164431,01,20180102,20180424
1235145822,01,20170102,20171014
1598864860,01,20170124,20170610
1619098092,01,20160709,20170826
1699701888,01,20170121,20180211
1083629372,01,20170214,20180602
1982619904,01,20160926,20180410
1134153042,01,20160822,20180411
1578714515,01,20170724,20180422
1285649251,01,20161119,20180628
1851400162,01,20170306,20171202
1770011371,01,20171113,20171117
1811096183,01,20170104,20170125
1417038944,01,20171002,20171006
1598874067,01,20170325,20170708
1871666347,01,20160911,20170302
1194783001,01,20160705,20170429
1336154491,01,20170628,20170916
1558593574,01,20171008,20171209
1336547579,01,20170101,20170607
1427091750,01,20160703,20170426
1770872731,01,20170103,20171224
1114020856,01,20170114,20170901
1417051236,01,20160709,20180623
1114327236,01,20160716,20170622
1891702775,01,20161231,20180406
1467560821,01,20170122,20171027
1366546327,01,20180124,20180921
1083629216,01,20161122,20171130
1770505307,01,20170808,20180427
1972603280,01,20161231,20180805
1467908087,01,20161231,20181003
1356864144,01,20180321,20180329
1922013218,01,20171227,20171231
1063841153,01,20170103,20180929
1326355116,01,20160930,20180708
1689783110,01,20170226,20171127
1699884973,01,20160710,20171030
1508960360,01,20160823,20171123
1104854348,01,20170328,20170401
1083723423,01,20160824,20180102
1194730432,01,20161008,20180310
1639288087,01,20170905,20171230
1508211020,01,20170315,20180117
1205060548,01,20170129,20181003
1164605622,01,20170103,20170709
1578601977,01,20180211,20180215
1588741011,01,20170413,20170417
1225137599,01,20160711,20171104
1205939980,01,20170617,20170621
1326472267,01,20170101,20171011
1932264058,01,20170106,20170121
1336166750,01,20160723,20171011
1144242934,01,20170606,20170713
1942580972,01,20170923,20170927
1508804972,01,20160629,20161002
1013026467,01,20170929,20171009
1942215108,01,20170104,20170108
1962753764,01,20171001,20171231
1104920081,01,20160706,20170124
1609016799,01,20161020,20170729
1588008957,01,20171218,20171230
1467525774,01,20170111,20170909
1194756916,01,20170605,20170609
1659475085,01,20170104,20171222
1215030994,01,20170812,20181002
1194828871,01,20160711,20180401
1093870693,01,20170121,20171025
1508960451,01,20170101,20180920
1326072067,01,20160703,20170730
1477576544,01,20170412,20170416
1063443869,01,20160806,20160810
1033239124,01,20160810,20160928
1548343882,01,20160701,20180618
1447408331,01,20161231,20180414
1609877414,01,20160924,20170525
